x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
6.033,6.113,1639.846,-160.249,173.622,-52.77,75.419,130.239
6.033,6.757,1257.772,-161.875,145.976,-54.997,63.035,128.399
6.033,7.4,917.298,-161.245,117.738,-58.406,48.614,124.588
6.033,8.043,526.717,-159.902,76.48,-60.009,32.148,122.313
6.676,0.322,115.9,-110.028,28.324,-58.259,23.332,126.929
6.676,0.965,148.936,-102.309,34.851,-51.904,27.954,129.617
6.676,1.609,220.247,-97.388,44.33,-45.888,33.749,132.363
6.676,2.252,351.103,-101.157,57.796,-41.276,41.149,135.079
6.676,2.896,565.496,-112.829,75.762,-38.451,50.69,137.587
6.676,3.539,908.466,-122.132,102.329,-36.474,65.17,139.871
6.676,4.183,1405.3,-144.667,138.586,-33.617,88.529,143.026
6.676,4.826,1658.334,-175.328,172.323,-28.892,119.948,146.375
6.676,5.47,1474.216,-165.76,152.01,-42.529,87.047,139.113
6.676,6.113,1168.911,-163.464,135.192,-51.041,66.281,132.486
6.676,6.757,907.918,-164.326,114.843,-53.808,54.488,129.976
6.676,7.4,726.066,-164.325,98.594,-56.503,44.733,127.192
6.676,8.043,478.278,-163.622,71.752,-58.188,32.401,125.099
