x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
5.433,6.391, 2360.990,-63.417,118.631,45.241,177.879,154.562
5.433,7.243, 1748.584,-85.178,122.790,41.004,144.628,153.603
5.433,8.096, 1324.268,-88.039,94.162,31.182,120.065,151.289
5.433,8.948, 712.538,-100.131,66.121,24.657,80.323,153.785
5.433,9.800, 474.358,-102.511,50.072,22.523,61.557,155.314
5.433,10.652, 286.271,-100.417,33.369,19.175,42.669,156.483
6.285,0.426, 121.118,-78.808,30.176,21.114,51.690,162.794
6.285,1.278, 124.209,-80.780,34.145,21.945,59.577,161.480
6.285,2.130, 120.867,-72.346,40.816,28.068,70.499,160.624
6.285,2.983, 157.941,-55.165,49.017,35.419,79.613,160.304
6.285,3.835, 344.645,-41.460,68.363,44.755,95.350,160.022
6.285,4.687, 714.149,-45.147,92.164,48.004,110.869,159.970
6.285,5.539, 1814.093,-64.598,134.493,54.731,146.709,160.434
6.285,6.391, 2526.023,-86.970,171.886,60.542,161.881,159.031
6.285,7.243, 1856.490,-101.716,148.866,49.216,133.570,156.563
6.285,8.096, 1244.964,-110.833,119.214,44.105,105.218,158.027
6.285,8.948, 703.778,-114.094,76.725,33.820,76.414,157.578
6.285,9.800, 428.737,-111.908,52.761,29.517,56.700,158.264
6.285,10.652, 294.904,-109.174,38.708,26.882,43.491,158.863
7.137,0.426, 129.049,-82.702,32.325,28.289,50.995,164.290
7.137,1.278, 148.160,-86.959,38.166,33.399,57.193,163.809
7.137,2.130, 168.642,-86.326,45.874,38.850,65.184,163.190
7.137,2.983, 216.136,-78.061,57.258,45.500,74.320,162.854
7.137,3.835, 339.131,-68.282,74.315,51.110,86.917,162.342
7.137,4.687, 745.677,-77.592,114.331,58.413,103.713,163.443
7.137,5.539, 1483.621,-94.297,169.795,65.603,122.951,165.712
7.137,6.391, 2571.702,-103.121,232.526,69.137,151.372,165.961
7.137,7.243, 1442.806,-114.185,147.661,52.823,113.735,161.251
7.137,8.096, 984.043,-119.310,112.990,45.317,92.921,160.671
7.137,8.948, 660.692,-119.779,82.806,39.739,73.934,160.439
7.137,9.800, 431.496,-119.512,61.382,37.138,57.457,161.394
7.137,10.652, 262.301,-113.857,38.623,31.431,39.971,161.151
7.989,0.426, 132.115,-86.508,34.751,35.392,48.986,166.593
7.989,1.278, 158.074,-90.591,41.294,39.327,54.960,165.791
7.989,2.130, 190.793,-92.563,49.945,44.076,61.635,165.282
7.989,2.983, 245.534,-92.182,62.200,49.433,69.019,165.117
7.989,3.835, 332.464,-88.192,77.134,53.599,78.641,164.600
7.989,4.687, 579.741,-94.185,111.137,59.414,91.013,165.667
7.989,5.539, 1016.923,-108.665,173.661,64.841,109.196,168.117
7.989,6.391, 1565.352,-123.905,257.379,68.390,130.671,170.950
7.989,7.243, 1059.463,-122.094,144.906,55.455,100.363,164.892
7.989,8.096, 740.416,-123.769,107.180,49.366,81.814,164.060
7.989,8.948, 586.102,-123.979,89.742,46.678,71.453,164.105
7.989,9.800, 437.573,-122.031,67.363,41.071,58.977,163.066
7.989,10.652, 271.108,-118.826,44.794,37.309,41.937,163.626
8.841,0.426, 130.299,-89.857,36.704,39.442,47.679,168.489
8.841,1.278, 158.834,-94.080,43.686,43.069,52.825,167.758
8.841,2.130, 195.813,-97.438,52.745,47.087,58.486,167.310
8.841,2.983, 250.281,-100.213,65.140,51.364,64.716,167.209
8.841,3.835, 338.606,-103.478,82.225,55.464,71.619,167.470
8.841,4.687, 480.294,-106.442,107.865,59.130,82.180,167.586
8.841,5.539, 730.345,-117.403,159.442,63.248,96.846,169.354
8.841,6.391, 947.971,-134.275,244.875,65.917,115.665,171.809
8.841,7.243, 749.926,-127.419,151.502,59.644,91.510,169.216
8.841,8.096, 577.119,-124.971,102.638,51.961,74.520,166.591
8.841,8.948, 459.230,-124.490,82.698,48.557,63.947,166.256
8.841,9.800, 371.665,-123.373,66.037,44.674,54.594,165.567
8.841,10.652, 258.833,-121.237,47.721,41.477,41.768,165.895
